Vị trí lá bài,Mã lá bài,Xác suất xuất hiện,Tìm được cặp (True/False)
1,3,0.1,False
2,5,0.1,False
3,4,0.1,False
4,1,0.1,False
5,4,0.1,False
6,2,0.1,False
6,2,0.1,False
4,1,0.1,False
4,1,0.1,False
5,4,0.1,False
6,2,0.1,False
7,5,0.1,False
5,4,0.1,True
3,4,0.1,True
2,5,0.1,False
1,3,0.1,False
4,1,0.1,True
0,1,0.1,True
9,3,0.1,False
7,5,0.1,False
6,2,0.1,False
7,5,0.1,False
8,2,0.1,False
9,3,0.1,False
2,5,0.1,False
1,3,0.1,False
2,5,0.1,False
6,2,0.1,False
9,3,0.1,False
8,2,0.1,False
9,3,0.1,True
1,3,0.1,True
8,2,0.1,True
6,2,0.1,True
7,5,0.1,True
2,5,0.1,True
